Hotel_ID,Hotel_Name
13_16,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (HUD BUILDING - CĂN HỘ 5 SAO CAO CẤP- TẦNG 21)"
13_17,Khu nghỉ dưỡng và Spa Cam Ranh Riviera Beach - Trọn gói (Cam Ranh Riviera Beach Resort and Spa - All Inclusive)
13_20,"Nhà riêng 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (Tiện nghi giá bình dân)"
13_23,"Căn hộ 500 m² 10 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Nhà Nghỉ Thúy Vy)"
13_24,Skyline Seaview Cam Ranh Khanh Hoa
13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport)
13_27,Khách sạn Asteria Comodo Nha Trang (Asteria Comodo Nha Trang Hotel)
15_7,An Lam Retreats Ninh Van Bay
15_10,Nhà bãi biển DELUXE HƯỚNG BIỂN BÃI DÀI CAM RANH (DELUXE SEA VIEW BÃI DÀI CAM RANH beach house)
15_12,Hà Nhung Hotel Nha Trang
15_13,"Nhà riêng 360 m² 4 phòng ngủ, 3 phòng tắm riêng ở Dốc Lết (yên lành homestay)"
15_14,"Căn hộ 774 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Two Bedroom Apartment with Balcony)"
15_15,"Chung cư 36 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (The Buckingham)"
15_16,"Nhà riêng 60 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Mini pool room 5 mins to the beach)"
15_17,Khách Sạn Seana (Seana Hotel)
15_19,Chung cư studio 40 m² có 1 phòng tắm riêng ở Vĩnh Hòa (603 Amazing Bay View Nha Trang north Apartment)
15_21,"Chung cư 58 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Tiger Apartments)"
15_22,"Chung cư 47 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Sea view Family 2 adult 2 children Free Pool & Gym)"
15_23,"Biệt thự 300 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Pool villa by the long beach in Wyndham resort)"
15_25,"Chung cư 38 m² 1 phòng ngủ, 1 phòng tắm riêng ở Tân Lập (Căn Hộ/Studio Đầy Đủ Tiện Nghi Giá Rẻ TạiNha Trang)"
15_27,Khách sạn Novotel Nha Trang (Novotel Nha Trang Hotel)
15_28,"Bungalow 24 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phương (Colours Land Home . View garden and river)"
15_29,"Căn hộ 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Coastal House Nha Trang)"
15_30,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Beach Front Modern Condominium Comfortzone )"
16_6,Nhà The Spring - Seaview (The Spring Home Seaview Cam Ranh Khanh Hoa)
16_7,Khách sạn Grand Gosia (Grand Gosia Hotel)
16_10,Khách sạn Xavia (Xavia Hotel)
16_12,Anthesis Seaview Cam Ranh Resort
16_13,"Biệt thự 400 m² 4 phòng ngủ, 5 phòng tắm riêng ở Suối Hải (SAN VILLA )"
16_14,HANZ Panorama Grand Residencé
16_15,HANZ Muong Thanh Vien Trieu Condo Hotel
16_16,"Chung cư 87 m² 3 phòng ngủ, 2 phòng tắm riêng ở Xương Huân (Blue apartment Nha Trang)"
16_18,Khách sạn Queen Ann Nha Trang (Queen Ann Nha Trang Hotel)
16_28,Khách Sạn TTC - Michelia (TTC Hotel - Michelia)
16_30,"Căn hộ 36 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (The Empyrean Cam Ranh Beach resort)"
18_2,Cam Ranh Mystery Villas & Spa
18_8,"Nhà riêng 82 m² 3 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Family Three Bedroom, Partial Sea, Washing Machine)"
18_9,"Biệt thự 700 m² 5 phòng ngủ, 3 phòng tắm riêng ở Vĩnh Thạnh (Nha Trang Riverside Villa)"
18_10,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (Maple 3 bedroom apartment)"
18_11,Mường Thanh Nha Trang Poli Apartment
18_12,Khách Sạn Vesna (Vesna Hotel)
18_13,The Arena Cam Ranh Beach seaside
18_15,"Căn hộ 162 m² 2 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (The Costa 2 Bedrooms SeaView Luxury)"
18_16,Muong Thanh Beachfront Apartment Nha Trang
18_17,Gold Coast Nha Trang Luxury Apartment - Ocean View
18_19,Hotel The Sun
18_21,"Biệt thự 1300 m² 5 phòng ngủ, 5 phòng tắm riêng ở Thôn Cát Lợi (MIER VILLA- Nha Trang)"
18_25,"Căn hộ 500 m² 3 phòng ngủ, 4 phòng tắm riêng ở Lộc Thọ (The Unique Ocean Duplex Sky Villa in the central)"
18_26,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Rosemary Home @ Long Beach- Cam Ranh)"
18_27,"Khu nghỉ dưỡng, Khách sạn và Spa Yasaka Sài Gòn (Yasaka Saigon Resort Hotel & Spa)"
18_28,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (Bay Dieu Homestay)"
18_29,"Căn hộ 25 m² 4 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Huy Khang HOMESTAY)"
19_2,Lyn Panorama Nha Trang
19_3,"Nhà trệt 150 m² 2 phòng ngủ, 2 phòng tắm riêng ở Phước Long (Đất Lành Homestay )"
19_4,Căn hộ studio 1100 m² có 1 phòng tắm riêng ở Vĩnh Phước (MCR Apartments Nha Trang)
19_5,"Nhà mặt đất 25 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (NEVA HOTEL NHA TRANG ( DOUBLE ROOM))"
19_6,Masova Hotel
19_7,"Căn hộ 25 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (LASON - Studio Hotel in Nha Trang)"
19_16,Khách sạn Sochi (Sochi Hotel)
20_18,Khách Sạn Crown Nha Trang (Crown Hotel Nha Trang)
20_27,"Nhà riêng 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Mountain view highfloor std center free gym pool)"
20_28,Santorini Villa Cam Ranh
21_4,"Nhà riêng 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Full-facility Beachfront Apartment)"
21_5,"Nhà riêng 136 m² 4 phòng ngủ, 5 phòng tắm riêng ở Cam Hải Đông (Beach side - Perfect for family)"
21_7,"Nhà riêng 300 m² 2 phòng ngủ, 2 phòng tắm riêng ở Biển Bãi Dài (Wyndham Cam Ranh - Biệt thự 2 phòng ngủ view biển)"
21_8,Khách sạn Alana Nha Trang (Alana Nha Trang Beach Hotel)
21_9,"Nhà riêng 300 m² 2 phòng ngủ, 3 phòng tắm riêng ở Biển Bãi Dài (Villa 2 phòng ngủ sát biển - Hồ bơi riêng)"
21_10,"Căn hộ 66 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Căn hộ sang tron đầy đủ tiện nghi)"
21_14,"Căn hộ 80 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Căn hộ chung cư view biển, bể bơi lớn)"
21_15,"Biệt thự 300 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Wyndham Cam Ranh - Biệt thự 3 phòng ngủ view biển)"
21_16,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Villa Cam Ranh - 3 phòng view biển có bể bơi riêng)"
21_27,Khách Sạn Senia Nha Trang (Senia Hotel)
22_1,Khách sạn Galina & Spa (Galina Hotel & Spa)
22_7,Khách Sạn và Spa Emerald Bay (Emerald Bay Hotel and Spa)
22_16,Venue Hotel
23_5,Residence Inn Villa Cam Ranh
23_15,Condotel Arena's at Bai Dai Beach Nha Trang
23_25,Khách sạn Quinter Central Nha Trang (Quinter Central Nha Trang Hotel)
24_2,"Biệt thự 300 m² 5 phòng ngủ, 5 phòng tắm riêng ở Vĩnh Trường (Villa An Vien Pool Private)"
24_3,"Căn hộ 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Hiệp (Happy Home)"
24_5,Khách sạn Pavillon Garden Nha Trang (Pavillon Garden Hotel Nha Trang)
24_8,"Chung cư 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Phước (Tulip Apartment & Hotel in Nha Trang)"
24_10,"Biệt thự 650 m² 5 phòng ngủ, 5 phòng tắm riêng ở Lộc Thọ (Casa Blanca Villas)"
24_17,MAJESTIC PREMIUM
24_22,Rigel Hotel
24_30,Spring Home-The Cam Ranh Resort
25_10,Khách Sạn Agnes Nha Trang (Agnes Nha Trang Hotel)
26_7,KHÁCH SẠN và CĂN HỘ AZURA GOLD (AZURA GOLD HOTEL and APARTMENT)
26_17,Aquamarine Resort Hotel Cam Ranh
26_19,"Căn hộ 100 m² 3 phòng ngủ, 2 phòng tắm riêng ở Lộc Thọ (3 bedroom apartment,balcony in Maple building)"
26_21,"Chung cư 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Phước Long (7S Hoang Anh Hotel & Apartment)"
26_23,"Căn hộ 30 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (LASON Hotel in Nha Trang)"
26_27,Nha Trang Lodge Hotel
26_29,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Sea view from above Nha Trang)"
27_2,"Biệt thự 300 m² 6 phòng ngủ, 6 phòng tắm riêng ở Vĩnh Trường (BEACH FRONT VILLA)"
27_3,"Nhà riêng 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Oceanfront Apartment with Private Beach)"
27_5,"Căn hộ 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Grand suite for business trip @ breakfast included)"
27_12,Vanda Hotel Nha Trang
27_17,Luu Gia Hotel
27_20,"Căn hộ 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Cam Ranh Homestay OceanView)"
27_27,BN Center Hotel - Nguyen Thi Minh Khai
28_7,Khách sạn Le Soleil Nha Trang (Le Soleil Hotel Nha Trang)
28_24,InterContinental Residences Nha Trang
29_4,Khách sạn Mỹ Ca (My Ca Hotel)
29_14,Moonlight Bay Panorama Ocean View
29_23,"Chung cư 70 m² 3 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Three Bedroom Ocean View Residence)"
29_24,Ccasa hostel
29_25,"Căn hộ 77 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (BIG PROMO Apartment with 2 bedrooms, beach views)"
29_28,"Biệt thự 214 m² 4 phòng ngủ, 0 phòng tắm riêng ở Cam Hải Đông (resort Nha Trang)"
29_30,"Nhà riêng studio 43 m² có 1 phòng tắm riêng ở Tân Lập (Direct seaview apartment, Nha Trang Panorama)"
30_11,Wise Stay Gold Coast
30_18,Sun City Hotel
30_26,Green Home Nha Trang
31_4,Khách sạn TND (TND Hotel)
32_14,An Vista Hotel
32_24,Grand Ocean Panorama Nha Trang
32_28,"Căn hộ 51 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Xin Chào Apartment - 2 bedroom with sea view)"
32_29,"Chung cư 37 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Perfect view Beach in Central Nha Trang)"
33_1,"Nhà mặt đất 30 m² 5 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (AN KHANG Apartment - City/SeaView Apart(02 people))"
33_2,"Chung cư 70 m² 3 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Cozy apartment @6 people, three bedrooms sea view)"
33_3,Khánh An Hotel
33_4,Panorama Beachfront Nha Trang Condotel
33_5,Nhà riêng studio 35 m² có 1 phòng tắm riêng ở Lộc Thọ (Bay View Oceanfront Studio Kitchen 2107A| Fan-only)
33_6,"Nhà mặt đất 100 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Hòa (Bella house)"
33_7,"Nhà riêng 64 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (La Đà homestay)"
33_8,"Chung cư 70 m² 3 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Luxury apartment with three bedrooms ocean view)"
33_9,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Panorama Nha Trang by NiceStay)"
33_10,"Nhà riêng 50 m² 1 phòng ngủ, 1 phòng tắm riêng ở Trung tâm thành phố Cần Thơ (Căn hộ Gold Coast Nha Trang view biển cực đẹp)"
33_11,"Căn hộ 52 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Family Sea View + Free Pool at Panorama Nha Trang )"
33_12,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (GREEN VACATION - 2BEDROOMS –12A06-OC1B-Seaview )"
33_14,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Biển Bãi Dài (Gia đình là tất cả)"
33_15,"Căn hộ 60 m² 1 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Trường (Beach front condo tel)"
33_16,"Chung cư 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Apartment in Nha Trang)"
33_17,"Căn hộ 33 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Apartment Cam Ranh bay)"
33_18,Chung cư studio 35 m² có 1 phòng tắm riêng ở Vĩnh Phước (STUDIO 3924A- THE BEST PANORAMIC NHA TRANG SEAVIEW)
33_19,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (SeaScape Panorama Greand Residences Nha Trang)"
33_20,The Arena Cam Ranh Beach Resort - Near The Airport
33_21,Khách sạn Long Hồ (Long Hồ Hotel)
33_22,Khách Sạn Sun Kiss (Sun Kiss Hotel)
33_29,Hong Mai Hotel Nha Trang
35_6,Bondi Backpackers (Bondi Backpackers Nha Trang)
35_13,"Nhà riêng 100 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Apartment Sea View Full Option)"
35_14,"Căn hộ 71 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Bống apartment)"
35_15,"Căn hộ 37 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Rosy Apartment)"
35_16,Khách Sạn Ruby (Ruby Hotel)
35_17,"Chung cư 92 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Sea view house)"
35_18,"Chung cư 33 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Căn hộ mini nội thất VIP)"
35_19,"Nhà riêng 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Apartment Beachfront Nha Trang)"
35_22,"Căn hộ 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Xương Huân (SKYLINE SERVICED APARTMENTS (1510- 1512))"
35_26,Khách sạn Galliot (Galliot Hotel Nha Trang)
35_28,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Ocean view muong thanh vien trieu apartment)"
35_29,"Căn hộ 68 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Muong Thanh Vien Trieu Luxury Nha Trang)"
36_6,Khu Du Lịch Hòn Ông (Whale Island Resort)
36_13,Căn hộ HighSea Nha Trang (HighSea Nha Trang Apartments)
36_21,"Căn hộ 100 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Arena Premium Beach Front King/Twin Bedroom)"
36_22,"Căn hộ 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (Nha Trang HUD Building Apartment)"
36_23,Khách sạn Nalicas (Nalicas Hotel)
36_24,"Nhà mặt đất 30 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Palm City Luxury Stay)"
37_3,Sky Beach D20 Nha Trang
38_5,La Casa Hotel Nha Trang
38_7,Khách Sạn Arima (Arima Hotel)
38_8,"Biệt thự 214 m² 3 phòng ngủ, 4 phòng tắm riêng ở Cam Hải Đông (Resort)"
38_10,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Xương Huân (Ama Home Nha Trang - Căn hộ cao cấp view biển)"
38_11,"Chung cư 48 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (OCEAN VEIWS BANCONY)"
38_12,"Căn hộ 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Lam House Nha Trang Apartment)"
38_13,"Căn hộ 75 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Sunny House)"
38_14,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Lộc Thọ (Deluxe Sea View with balcony)"
38_15,Sun And Sea Apartment Nha Trang
38_16,"Căn hộ 37 m² 1 phòng ngủ, 1 phòng tắm riêng ở Cam Hải Đông (Delux Cam Ranh)"
